WatsonGearCode,VonBrandt3Code,VonBrandtDescription,FAOGearName,FAOGearAbbrev,FAOGearCode,WatsonFGearCode,WatsonFGearLabel,WatsonFleetGearName,GilmanGear25Code,GilmanGear25Description,GilmanGear8Code,GilmanGear8Name,GFWClass,GFWCategory,FADs
900,9,seine nets,Seine nets,C2,02.0.0,9,SSN,Seine,SV_,Boat seines ,ps,purse seine,other_seines,seiners,
920,9.2,genuine seine net,Seine nets,C2,02.0.0,9,SSN,Seine,SV_,Boat seines ,ps,purse seine,other_seines,seiners,
921,9.2.1,beach seines,Beach seines,SB,02.1.0,9,SSN,Seine,SB_,Beach seines ,ps,purse seine,other_seines,seiners,
922,9.2.2,boat seines,Boat or vessel seines,SV,02.2.0,9,SSN,Seine,SV_,Boat seines ,ps,purse seine,other_seines,seiners,
1000,10,surrounding nets,Danish seines,SDN,02.2.1,6,TRA,Seine,PS_,Purse seine,ps,purse seine,other_seines,seiners,
1010,10.1,lampara-like nets,Without purse lines (lampara),LA,01.2.0,10,PSO,Purse seine Non-tuna,PS_,Purse seine,ps,purse seine,other_seines,seiners,
1020,10.2,purse seines,With purse lines (purse seines),PS,01.1.0,10,PSO,Purse seine Non-tuna,PS_,Purse seine,ps,purse seine,purse_seines,seiners,
1030,10.3,ring nets,With purse lines (purse seines),PS,01.1.0,9,SSN,Seine,PS_,Purse seine,ps,purse seine,other_purse_seines,seiners,
1050,10.5,purse seine tuna,With purse lines (purse seines),PS,01.1.0,14,PST,Purse seine Tuna,PS_,Purse seine,ps,purse seine,tuna_purse_seines,seiners,
1100,11,drive-in nets,Lift nets,C5,05.0.0,9,SSN,Seine,LNB ,Boat-operated lift nets ,ne,net,,driftnets,
1200,12,liftnets or dipnets,Lift nets,C5,05.0.0,9,SSN,Seine,LNB ,Boat-operated lift nets ,ne,net,,driftnets,
1210,12.1,hand liftnets,Lift nets (not specified),LN,05.9.0,9,SSN,Seine,,,,net,,,
1320,13.2,"cast nets, with or without pockets",Cast nets,FCN,06.1.0,1,OTH,Other,LNB ,Boat-operated lift nets ,ne,net,,driftnets,
1400,14,gillnets,Combined gillnets-trammel nets,GTN,07.6.0,11,GIL,Gillnet,GNB,Bottom gillnet,ne,net,set_gillnets,set_gillnets,
1400,14,gillnets,Gillnets and entangling nets,C7,07.0.0,11,GIL,Gillnet,GNB,Bottom gillnet,ne,net,set_gillnets,set_gillnets,
1410,14.1,set gillnets,Fixed gill nets (on stakes),GNF,07.4.0,11,GIL,Gillnet,GNS,Surface & Bottom Set Gillnet ,ne,net,set_gillnets,set_gillnets,
1410,14.1,set gillnets,Set gillnets (anchored),GNS,07.1.0,11,GIL,Gillnet,GNS,Surface & Bottom Set Gillnet ,ne,net,set_gillnets,set_gillnets,
1420,14.2,driftnets,Driftnets,GND,07.2.0,11,GIL,Gillnet,GNP,Pelagic gillnets,ne,net,driftnets,driftnets,
1500,15,tangle nets,Trammel nets,GTR,07.5.0,11,GIL,Gillnet,GTR ,Trammel nets ,ne,net,other_fishing,other_fishing,
1540,15.4,trammel nets,Trammel nets,GTR,07.5.0,11,GIL,Gillnet,GTR ,Trammel nets ,ne,net,other_fishing,other_fishing,
,,,,,,,,,,,,,fishing,fishing,
,,,,,,,,,,,,,fixed_gear,fixed_gear,
,,,,,,,,,,,,,,,Purse Seine Anchored FADs
,,,,,,,,,,,,,,,Purse Seine Drifting FADs
,,,,,,,,,,,,,,,Pole and Line Anchored FADs
